#{"t_start": 1629995467.5777366, "env_id": "Pendulum-v0"}
r,l,t
-128.025394,200,894.460362
-129.09422,200,894.612954
-123.141341,200,894.765546
-246.854282,200,894.918138
-121.926563,200,895.066741
-132.832666,200,895.216341
-10.300267,200,895.367936
-239.688815,200,895.517535
-248.655029,200,895.668133
-130.803317,200,895.81873
-130.36666,200,932.099721
-135.991649,200,932.250319
-316.670724,200,932.408894
-11.80093,200,932.561486
-245.772565,200,932.714079
-265.749256,200,932.869662
-129.25275,200,933.025246
-127.476294,200,933.176841
-249.765223,200,933.323449
-130.723718,200,933.476041
-131.282365,200,969.717139
-240.369955,200,969.868733
-13.790224,200,970.02332
-348.921166,200,970.170924
-251.115804,200,970.321522
-126.949859,200,970.475111
-330.624715,200,970.623715
-270.622608,200,970.772316
-253.264534,200,970.921916
-247.009812,200,971.072515
-134.543806,200,1007.700576
-131.491952,200,1007.851173
-131.040126,200,1008.001771
-135.654179,200,1008.151371
-130.199662,200,1008.303964
-353.419705,200,1008.45456
-134.42831,200,1008.605158
-246.151889,200,1008.75775
-246.519747,200,1008.913334
-249.892171,200,1009.06792
-124.045404,200,1045.479562
-119.413087,200,1045.62617
-130.461601,200,1045.774773
-121.242348,200,1045.927364
-118.789178,200,1046.079957
-125.622897,200,1046.230553
-331.585713,200,1046.384144
-122.600096,200,1046.535738
-126.661398,200,1046.687332
-241.572221,200,1046.840922
-129.124302,200,1083.727293
-130.996054,200,1083.880883
-7.448698,200,1084.03148
-122.242828,200,1084.18108
-119.855378,200,1084.33467
-7.416065,200,1084.482277
-130.207465,200,1084.631875
-7.99248,200,1084.781476
-120.493372,200,1084.934066
-129.022686,200,1085.088654
-118.128901,200,1123.120961
-2.500989,200,1123.26757
-115.48133,200,1123.420161
-246.275951,200,1123.570759
-126.343594,200,1123.726343
-121.056316,200,1123.877938
-127.240306,200,1124.027538
-2.86252,200,1124.179132
-243.619597,200,1124.329731
-124.605975,200,1124.485314
-120.880757,200,1161.722746
-126.409447,200,1161.874341
-123.35946,200,1162.025936
-127.288327,200,1162.17853
-246.25533,200,1162.329126
-126.363549,200,1162.482715
-122.296937,200,1162.634309
-127.098455,200,1162.784907
-279.903316,200,1162.9375
-7.56642,200,1163.090091
-123.874622,200,1201.613086
-127.840761,200,1201.751716
-133.153038,200,1201.888352
-245.10585,200,1202.035956
-127.63174,200,1202.172591
-125.57031,200,1202.312217
-11.449201,200,1202.44985
-246.199984,200,1202.586484
-10.660349,200,1202.713145
-132.265698,200,1202.852773
-244.99474,200,1241.528359
-244.417734,200,1241.67796
-132.118205,200,1241.829555
-122.434336,200,1241.97716
-245.533242,200,1242.128755
-129.416637,200,1242.279352
-132.3255,200,1242.431944
-8.25009,200,1242.584537
-9.018295,200,1242.737128
-123.855432,200,1242.887726
-238.563984,200,1280.660726
-133.672307,200,1280.810326
-139.646092,200,1280.964914
-245.463707,200,1281.115511
-133.178911,200,1281.265111
-360.75329,200,1281.41471
-13.174051,200,1281.565309
-136.214782,200,1281.713912
-128.924743,200,1281.865506
-245.507326,200,1282.019094
-244.669656,200,1320.363568
-9.370055,200,1320.516168
-10.863849,200,1320.662768
-11.386688,200,1320.816361
-132.879857,200,1320.96895
-131.971136,200,1321.125531
-132.029005,200,1321.275131
-126.372394,200,1321.426726
-127.913001,200,1321.580314
-245.023495,200,1321.732907
-132.016406,200,1360.052447
-128.798068,200,1360.204041
-251.310577,200,1360.350649
-132.150224,200,1360.499252
-12.351632,200,1360.64586
-122.443691,200,1360.802441
-13.543194,200,1360.938079
-10.129143,200,1361.0797
-129.531144,200,1361.230297
-10.022492,200,1361.379897
-8.751925,200,1399.498973
-126.214795,200,1399.645583
-234.815403,200,1399.796179
-309.677513,200,1399.943783
-132.272675,200,1400.097373
-245.390714,200,1400.248968
-343.094928,200,1400.39757
-122.037056,200,1400.549164
-125.918597,200,1400.698765
-261.089937,200,1400.852355
-248.093837,200,1438.706141
-252.951825,200,1438.856737
-135.36195,200,1439.007335
-348.776471,200,1439.157932
-14.19958,200,1439.309527
-14.313022,200,1439.463116
-136.931622,200,1439.609723
-133.602359,200,1439.758326
-136.712338,200,1439.910918
-14.060748,200,1440.060519
-125.710939,200,1478.307253
-248.858274,200,1478.4389
-357.908186,200,1478.569551
-128.980052,200,1478.720149
-262.906319,200,1478.86177
-11.204341,200,1478.993418
-124.425644,200,1479.137034
-123.321632,200,1479.29561
-131.691845,200,1479.436234
-11.967984,200,1479.570874
-129.231368,200,1517.822596
-259.937691,200,1517.973194
-133.20198,200,1518.113816
-131.692458,200,1518.253451
-133.901163,200,1518.404041
-245.604947,200,1518.552643
-126.007718,200,1518.70723
-130.075839,200,1518.859822
-11.385215,200,1519.011417
-274.36255,200,1519.163016
-129.693692,200,1557.928359
-128.11454,200,1558.075966
-234.310476,200,1558.22756
-244.003498,200,1558.376162
-13.205904,200,1558.521773
-264.515785,200,1558.672369
-245.946201,200,1558.824961
-131.335701,200,1558.97157
-136.219427,200,1559.124161
-239.336849,200,1559.27476
-241.517948,200,1598.093965
-130.86433,200,1598.25254
-130.222841,200,1598.390172
-138.930854,200,1598.525809
-243.523802,200,1598.676406
-127.586126,200,1598.828
-293.520087,200,1598.960647
-135.454611,200,1599.090299
-126.37855,200,1599.24389
-134.708669,200,1599.392491
-246.978576,200,1638.007242
-132.384871,200,1638.159835
-344.946739,200,1638.310432
-255.665523,200,1638.457039
-238.947893,200,1638.609631
-129.763649,200,1638.759231
-131.463996,200,1638.91282
-135.747881,200,1639.065413
-241.601111,200,1639.21601
-253.123407,200,1639.366607
-133.521566,200,1678.663534
-243.646738,200,1678.816126
-129.374528,200,1678.969716
-242.011356,200,1679.121309
-139.059192,200,1679.274899
-130.563287,200,1679.425496
-13.747789,200,1679.575096
-128.792747,200,1679.728685
-130.576431,200,1679.883272
-247.797193,200,1680.032871
-127.816819,200,1719.051543
-14.706232,200,1719.203137
-138.962064,200,1719.36271
-15.663866,200,1719.526273
-14.177371,200,1719.667894
-258.742123,200,1719.824476
-134.133635,200,1720.011975
-250.614797,200,1720.153596
-129.193015,200,1720.302199
-348.235412,200,1720.472743
-243.811068,200,1759.584166
-260.250626,200,1759.73576
-129.686101,200,1759.890354
-14.359806,200,1760.042938
-132.39208,200,1760.19952
-266.290481,200,1760.351115
-128.928375,200,1760.499717
-333.075443,200,1760.65231
-241.369226,200,1760.800912
-136.009481,200,1760.954501
-241.687936,200,1801.615779
-139.932882,200,1801.749422
-127.385018,200,1801.88506
-131.531362,200,1802.020697
-137.919209,200,1802.156336
-129.519755,200,1802.291972
-248.379767,200,1802.431601
-134.903356,200,1802.568235
-364.612659,200,1802.708858
-251.611519,200,1802.847487
-370.599669,200,1842.826591
-253.459082,200,1842.978184
-137.487319,200,1843.138754
-251.083255,200,1843.294337
-129.646671,200,1843.444937
-354.129888,200,1843.595532
-243.953029,200,1843.744136
-292.786386,200,1843.897725
-129.471942,200,1844.052311
-254.389089,200,1844.210887
-136.933127,200,1883.708277
-127.946597,200,1883.858875
-255.288804,200,1884.008474
-128.859341,200,1884.159073
-127.512562,200,1884.310667
-309.478924,200,1884.458272
-133.596511,200,1884.610865
-383.553145,200,1884.764453
-13.617506,200,1884.914054
-254.7834,200,1885.065649
-144.476064,200,10660.149093
-139.716916,200,10660.297696
-136.688966,200,10660.433334
-264.912967,200,10660.567974
-373.862625,200,10660.719568
-146.85083,200,10660.866177
-253.268127,200,10661.013782
-140.833498,200,10661.161387
-310.766961,200,10661.311985
-258.189755,200,10661.448619
-144.455865,200,19608.033939
-379.957406,200,19608.189523
-263.7831,200,19608.343112
-24.864293,200,19608.494708
-141.485751,200,19608.644306
-140.186918,200,19608.79291
-263.877043,200,19608.945502
-259.412945,200,19609.099091
-136.383544,200,19609.248692
-258.110667,200,19609.400286
-259.077688,200,28531.449771
-135.5597,200,28531.603359
-131.559098,200,28531.751962
-129.369963,200,28531.90256
-128.841722,200,28532.070112
-251.813129,200,28532.219712
-127.830976,200,28532.371307
-133.575715,200,28532.562795
-131.815233,200,28532.716383
-251.832628,200,28532.866981
-124.256924,200,37564.121909
-255.108903,200,37564.310405
-252.508287,200,37564.487931
-134.49922,200,37564.644512
-244.198912,200,37564.822038
-129.271373,200,37564.971638
-259.888924,200,37565.122234
-12.631216,200,37565.334666
-248.036022,200,37565.488255
-127.175227,200,37565.65082
-127.864121,200,50030.756894
-14.810605,200,50030.909339
-14.642316,200,50031.025565
-14.152791,200,50031.165542
-14.924727,200,50031.301181
-132.312508,200,50031.417869
-15.85385,200,50031.521603
-257.801442,200,50031.621324
-254.749367,200,50031.723064
-349.947728,200,50031.824779
-130.261992,200,61048.551427
-247.072445,200,61048.873957
-132.893048,200,61049.002623
-11.830179,200,61049.134306
-132.998418,200,61049.262863
-130.315023,200,61049.389516
-351.970721,200,61049.580668
-249.165839,200,61049.728368
-134.439126,200,61049.907026
-246.664797,200,61050.03046
,200.110935
-774.068917,200,200.377224
-129.196183,200,200.64052
-508.403398,200,200.904814
-257.912122,200,201.175092
-247.539493,200,201.71764
-125.887394,200,201.985922
-241.65831,200,202.247223
-1008.383896,200,202.516504
-128.520972,200,202.788775
-128.834589,200,203.323346
-2.289196,200,203.594621
-117.784244,200,203.859912
-122.625505,200,204.147145
-0.712878,200,204.461303
-856.690785,200,205.103586
-371.351514,200,205.455645
-230.548925,200,205.746866
-238.724742,200,206.043073
-239.904511,200,206.334305
-242.057196,200,206.901778
-131.576808,200,207.192003
-630.137363,200,207.456295
-792.824545,200,207.747516
-353.454551,200,208.017799
-993.359111,200,208.591261
-122.565862,200,208.883479
-599.631303,200,209.155752
-903.50249,200,209.429021
-227.65041,200,209.6983
-129.848979,200,210.260797
-124.327142,200,210.530076
-253.365723,200,210.797361
-488.029333,200,211.056668
-469.264808,200,211.31797
-236.326549,200,213.259778
-129.117018,200,213.521079
-248.541422,200,213.79335
-631.576904,200,214.064626
-261.105768,200,214.337895
-122.320497,200,214.888423
-261.447803,200,215.199592
-277.253232,200,215.473857
-128.160825,200,215.744135
-363.032041,200,216.01142
-763.133037,200,216.56494
-123.790359,200,216.828245
-124.702373,200,217.098514
-114.711987,200,217.369788
-237.847177,200,217.644055
-247.479088,200,218.218525
-245.118772,200,218.493783
-245.361536,200,218.772038
-259.074011,200,219.034348
-1.941105,200,219.312594
-230.362688,200,219.883068
-121.269282,200,220.16332
-244.095367,200,220.434593
-259.342665,200,220.715842
-120.249963,200,220.9931
-132.075621,200,221.541633
-239.305465,200,221.809916
-3.245486,200,222.082188
-375.072661,200,222.353464
-237.224178,200,222.615761
-245.093087,200,223.153324
-241.734497,200,223.409639
-238.698933,200,223.677921
-247.349341,200,223.943212
-245.225589,200,224.215483
-638.208663,200,224.752049
-127.563841,200,225.011356
-766.499422,200,225.274652
-232.276939,200,225.535953
-123.641503,200,225.788279
-238.898775,200,226.327836
-131.013017,200,226.598113
-3.337253,200,226.864401
-259.998924,200,227.143654
-2.285257,200,227.413932
-118.778247,200,227.953489
-5.452057,200,228.223766
-129.666252,200,228.490054
-120.060117,200,228.754348
-4.865049,200,229.019638
-124.163929,200,229.563185
-343.636484,200,229.835457
-5.995738,200,230.108727
-126.561057,200,230.37302
-118.902742,200,230.63831
-126.314628,200,231.181857
-244.260631,200,231.441164
-119.467482,200,231.708448
-239.634293,200,231.979724
-117.68849,200,232.258977
-7.294501,200,232.814492
-373.410351,200,233.089756
-123.914201,200,233.355047
-127.343481,200,233.61934
-362.089463,200,233.882636
-125.872472,200,234.416209
-118.394651,200,234.682497
-386.831364,200,234.949783
-2.133939,200,235.218064
-2.22366,200,235.487345
-125.675666,200,236.036877
-242.711641,200,236.304161
-127.186603,200,236.572443
-239.855911,200,236.843718
-118.90633,200,237.110007
-114.378294,200,237.652556
-125.891672,200,237.913857
-243.483575,200,238.190118
-552.974174,200,238.463388
-120.964104,200,238.724688
-123.223553,200,239.288182
-232.280231,200,239.613313
-123.834288,200,239.90254
-235.409313,200,240.195756
-496.604784,200,240.484993
-1.08014,200,241.039499
-397.985468,200,241.307783
-1.164779,200,241.589031
-118.739347,200,241.856315
-231.122086,200,242.12759
-368.839857,200,242.669143
-453.936176,200,242.952385
-244.858371,200,243.273526
-116.48697,200,243.549788
-0.89219,200,243.825052
-120.943148,200,244.37159
-241.925509,200,244.642865
-237.41816,200,244.91015
-116.924268,200,245.165467
-0.890281,200,245.436741
-243.613643,200,247.769504
-350.067224,200,248.038786
-393.980603,200,248.312053
-1.696051,200,248.57535
-0.818068,200,248.84463
-238.351122,200,249.39815
